year_month_str,year_month_dt,Rate,insei_indobert_final,insei_indolem_final,insei_mdeberta_final,insei_gemini_final
2017-03,2017-03-01,-0.02,50.0,50.0,50.0,50.0
2017-04,2017-04-01,0.09,50.0,50.0,50.0,50.0
2017-05,2017-05-01,0.39,50.0,50.0,50.0,50.0
2017-06,2017-06-01,0.69,50.0,50.0,50.0,50.0
2017-07,2017-07-01,0.22,50.0,50.0,50.0,50.0
2017-08,2017-08-01,-0.07,51.474083825698884,51.28155729829512,49.91647128973542,51.50804071608988
2017-09,2017-09-01,0.13,46.797249765226894,48.1578588124109,45.37927582514338,48.76809245009773
2017-10,2017-10-01,0.01,43.58787694445293,45.4966017363021,41.553587767278046,46.160644069802906
2017-11,2017-11-01,0.2,42.53757280386963,43.81593907083292,41.618636497835006,46.06951751055652
2017-12,2017-12-01,0.71,44.965718458588015,44.91199059379723,44.34109559589375,46.877319991508514
2018-01,2018-01-01,0.62,42.99585425907905,45.90427590103579,45.32696170674922,49.31434603822526
2018-02,2018-02-01,0.17,43.71599721268354,46.4748239669652,46.12797660140551,48.13751341848758
2018-03,2018-03-01,0.2,46.92261366483728,48.98369699407963,50.18274872017493,51.68141543920795
2018-04,2018-04-01,0.1,50.09638140941102,49.42136445971385,51.93922979976599,50.347303426430976
2018-05,2018-05-01,0.21,49.03158423357305,47.872768586506275,51.40761972132032,48.76724946785109
2018-06,2018-06-01,0.59,52.49286545350138,53.63009996100194,53.25162015089808,52.343873934373754
2018-07,2018-07-01,0.28,60.31888119589625,60.08362974045585,59.767888189952835,58.66374817729908
2018-08,2018-08-01,-0.05,59.33118856211789,59.5135649507897,58.975222960058225,57.661009210522074
2018-09,2018-09-01,-0.18,59.119342464910275,57.346361841204875,59.41861486074275,57.040062878427506
2018-10,2018-10-01,0.28,55.937705855880985,53.483483010892286,55.70642789704926,54.172201059179905
2018-11,2018-11-01,0.27,56.887075166434954,56.6016833228565,56.995919438786586,58.469839182346604
2018-12,2018-12-01,0.62,57.405434479028095,54.052468215316885,55.69678913546397,54.93386569236524
2019-01,2019-01-01,0.32,50.83682460946585,49.46449869778839,48.94450872877946,49.50102214594978
2019-02,2019-02-01,-0.08,50.37696852780117,47.91067753408764,49.69403727588525,46.234461360706504
2019-03,2019-03-01,0.11,38.724451538032554,40.734080673772006,40.38387902045795,40.469543137533535
2019-04,2019-04-01,0.44,36.392868659150764,38.582649973518954,39.72679582182859,38.12733260814072
2019-05,2019-05-01,0.68,32.47717078158213,35.74054828766852,35.141705953801754,36.69769463119722
2019-06,2019-06-01,0.55,37.01846565017448,38.08267223674838,37.90170692647033,38.38108955411156
2019-07,2019-07-01,0.31,44.189124938742054,44.122704226113655,44.226237651821066,45.92392818379378
2019-08,2019-08-01,0.12,45.894823386249726,43.99225676508371,45.26473150713222,47.22953053321493
2019-09,2019-09-01,-0.27,45.628828855344636,43.78326046623814,45.162389714537426,47.30395989715807
2019-10,2019-10-01,0.02,43.8398274223576,41.18107537624461,42.94666997739574,43.913644709200895
2019-11,2019-11-01,0.14,42.14640603569613,40.659409354444854,41.44521574817754,43.51704443700135
2019-12,2019-12-01,0.34,39.77823226401264,39.86468902041777,40.48158248829623,42.51949141768864
2020-01,2020-01-01,0.39,38.43287215653616,40.271322451284625,41.48486094621505,42.40515588262928
2020-02,2020-02-01,0.28,42.243127872816736,44.234687221256124,45.67172848899869,42.087480663183165
2020-03,2020-03-01,0.1,45.442901121241235,45.74551270792598,47.77985872078736,43.83604227938957
2020-04,2020-04-01,0.08,41.34796479618957,39.60277392468109,40.920302149667286,37.86682396225696
2020-05,2020-05-01,0.07,38.206348073847785,36.19366262297385,36.01258131884962,36.94852220919438
2020-06,2020-06-01,0.18,34.63962771327278,33.24188292946375,31.398116732639874,33.9645978321939
2020-07,2020-07-01,-0.1,34.78152592221691,35.178299926820365,33.56334742807951,37.21230782119677
2020-08,2020-08-01,-0.05,32.27017706893113,32.33928246419907,34.102067416479606,35.91876285809287
2020-09,2020-09-01,-0.05,37.27643004576028,38.003876991088525,39.68118849584191,40.847555176369966
2020-10,2020-10-01,0.07,38.73727838745429,37.91538582279577,39.31319326853018,39.673810840441526
2020-11,2020-11-01,0.28,38.82370225058493,37.39442258951549,36.39870372766477,37.92934590946392
2020-12,2020-12-01,0.45,40.082124895015234,36.773268949908164,37.8232224962243,38.32365063447772
2021-01,2021-01-01,0.26,43.61737300132488,40.66708519658781,44.53431768314155,43.431898924428175
2021-02,2021-02-01,0.1,53.093087455419536,49.11099241860896,52.556285966858056,51.11154746513715
2021-03,2021-03-01,0.08,56.5833366907083,52.444740729874674,55.863311088829455,55.15072504833276
2021-04,2021-04-01,0.13,61.07156931679608,58.45839785677731,59.77611873936635,59.516418093047044
2021-05,2021-05-01,0.32,60.84312280727988,59.63720557155006,59.874233200347106,60.92252073733296
2021-06,2021-06-01,-0.16,57.71210711823454,57.131272515173784,57.20747194440639,57.9398602612661
2021-07,2021-07-01,0.08,58.98248550383661,57.28164145538466,56.38032997267897,57.63772322044326
2021-08,2021-08-01,0.03,54.83925242921847,53.29349520978897,55.302710249862784,55.06472033123256
2021-09,2021-09-01,-0.04,55.529632884321096,54.914875563896814,55.122807590267264,53.91174911729112
2021-10,2021-10-01,0.12,53.72974234487219,52.00801719920602,53.07598161135245,51.537703670765715
2021-11,2021-11-01,0.37,57.875068743545285,56.530736284242366,56.03520205981813,54.44331671771474
2021-12,2021-12-01,0.57,61.22078224267884,60.088578771879,62.66920106451355,61.003417381721185
2022-01,2022-01-01,0.56,64.36165387825595,63.54613483702478,65.67969739094988,65.45702607335487
2022-02,2022-02-01,-0.02,66.60409483709117,65.41377022518284,68.70748946323829,66.71599723964076
2022-03,2022-03-01,0.66,67.48060080250508,67.13830723002317,68.21410908950837,67.07139182683851
2022-04,2022-04-01,0.95,67.18553351864554,66.87515440722454,67.86070460006522,66.67991826132959
2022-05,2022-05-01,0.4,69.63856521251637,68.6320220741587,68.80977200431626,69.79651613711334
2022-06,2022-06-01,0.61,73.5462138874658,70.92881877162134,71.39688175990864,71.01678840292118
2022-07,2022-07-01,0.64,74.33267442960674,71.97773457560358,72.75590202329192,72.27919471706517
2022-08,2022-08-01,-0.21,73.52532589723421,71.82360209684612,72.87780351423147,71.17384377411702
2022-09,2022-09-01,1.17,71.35517574744156,68.81525027359302,70.77700798383086,69.49518233546392
2022-10,2022-10-01,-0.11,73.06522845173629,69.80178242223388,70.69691240014518,70.18415591418398
2022-11,2022-11-01,0.09,74.49172156630704,69.84666506110136,71.42502574694028,70.60112783267977
2022-12,2022-12-01,0.66,74.04909160581154,69.68068003595059,70.83797413440999,70.55393250805042
2023-01,2023-01-01,0.34,69.542351552529,66.73561159285823,67.97315739869418,66.11058713693085
2023-02,2023-02-01,0.16,63.15139484485032,59.85215005691328,60.60367911987871,58.36999645061809
2023-03,2023-03-01,0.18,55.277886069490854,50.817210598649005,51.19395706630662,49.65625532909308
2023-04,2023-04-01,0.33,53.814976965459465,47.82119527270166,49.033914443401066,48.024033774105106
2023-05,2023-05-01,0.09,52.666367375412136,47.299639809109834,47.56878065812451,48.117754431932234
2023-06,2023-06-01,0.14,52.93935281320156,48.52957629476855,48.23066720449391,49.43352098149228
2023-07,2023-07-01,0.21,51.24521387680171,46.14378237419405,45.71727017093755,46.5366514960347
2023-08,2023-08-01,-0.02,51.073712985625164,45.80377303964984,46.099727961080774,47.01788873789023
2023-09,2023-09-01,0.19,48.93927744017859,42.96475718429442,43.86625239661245,42.91045235616056
2023-10,2023-10-01,0.17,51.44598855763648,46.58462917802292,46.848975406874374,47.49569745237421
2023-11,2023-11-01,0.38,53.19094276213,48.25887942572512,48.831304092512475,47.92403976586617
2023-12,2023-12-01,0.41,58.498005594428136,55.61583865436961,55.99767894169088,55.47518571113667
2024-01,2024-01-01,0.04,54.86129791646944,51.53533160722617,52.76278068181211,50.69491794474151
2024-02,2024-02-01,0.37,52.84489523350377,49.74468196925449,50.08323899469299,50.111291960895215
2024-03,2024-03-01,0.52,50.067324182558465,45.850319591992005,46.60085262458211,46.403619929259314
2024-04,2024-04-01,0.25,51.51953317877277,46.7779188710487,47.567968751389074,47.828484339484305
2024-05,2024-05-01,-0.03,53.53553759633535,49.04069792555963,49.61471772876473,50.13778213557322
2024-06,2024-06-01,-0.08,56.295631887837175,53.33846001081905,53.348105890382165,54.782294267881625
2024-07,2024-07-01,-0.18,55.37413806913886,53.17233162825331,52.27708814942954,55.14679843237584
2024-08,2024-08-01,-0.03,53.12165761352695,50.8162973265573,50.49516253282497,52.71148178769209
2024-09,2024-09-01,-0.12,46.06269474877446,44.20656916218112,43.700832910312094,46.072557961120374
2024-10,2024-10-01,0.08,42.18860613429745,42.10859563979169,40.48900169468025,41.76161891047457
2024-11,2024-11-01,0.3,37.41611835808052,37.552144137796205,35.87922477904151,36.232642739542584
2024-12,2024-12-01,0.44,35.17138597057538,34.4805926279259,33.58515740520009,33.21674763867893
2025-01,2025-01-01,-0.76,39.72737307988158,38.45003416103976,39.640197214208854,39.167736507572826
2025-02,2025-02-01,-0.48,44.524078287632605,45.09757012569693,45.60459048459602,46.64190645396438
2025-03,2025-03-01,1.65,50.17171647975721,49.95407674340521,50.91759948602872,52.15086221491552
2025-04,2025-04-01,1.17,49.32856908017418,48.643142477432534,48.49280860671783,49.46653225857657
2025-05,2025-05-01,-0.37,48.073079916077376,45.93262102967774,46.46088208829776,47.35848889329846
2025-06,2025-06-01,0.19,49.25537447234821,47.96690296414558,47.15927434564187,48.47588393884052
2025-07,2025-07-01,0.3,48.14313771094756,46.32118431202501,46.30118324035378,47.74187738511682
2025-08,2025-08-01,-0.08,44.25226578796135,41.79696337634689,42.23500941316421,42.06945039141601
2025-09,2025-09-01,0.21,43.69064025382296,40.177723936202824,41.41369422553411,39.88528879176437
2025-10,2025-10-01,0.28,43.20446565150834,40.17410871506894,41.441606032953494,40.66679346802855
